codigo;usuario;material;valor_propuesto;fechapropuesta
891469;dduran;-;1;29-09-2025
512605;dduran;-;1;29-09-2025
519981;dduran;-;1;29-09-2025
2207733;dduran;-;1;29-09-2025
1343293;dduran;-;1;29-09-2025
1480076;dduran;-;1;29-09-2025
2272960;dduran;-;1;29-09-2025
2327412;dduran;-;1;29-09-2025
2207904;dduran;-;1;29-09-2025
1994787;dduran;-;1;29-09-2025
2013214;dduran;-;1;29-09-2025
1508623;dduran;-;1;29-09-2025
2012608;dduran;-;1;29-09-2025
513862;dduran;-;1;29-09-2025
2280098;dduran;-;1;29-09-2025
1331488;dduran;-;1;29-09-2025
523068;dduran;-;1;29-09-2025
2295511;dduran;-;1;29-09-2025
1653228;dduran;-;1;29-09-2025
1756793;dduran;-;1;29-09-2025
1663281;dduran;-;1;30-09-2025
1370060;dduran;-;1;30-09-2025
2251777;dduran;-;1;30-09-2025
1852311;dduran;-;1;30-09-2025
2329780;dduran;-;1;30-09-2025
2295490;dduran;-;1;30-09-2025
1911606;dduran;-;1;30-09-2025
2350903;dduran;-;1;30-09-2025
2308942;dduran;-;1;30-09-2025
521670;dduran;-;1;30-09-2025
2065214;dduran;-;1;30-09-2025
2228158;dduran;-;1;30-09-2025
1659589;dduran;-;1;30-09-2025
521626;dduran;-;1;30-09-2025
1322643;dduran;-;1;30-09-2025
523239;dduran;-;1;30-09-2025
520162;dduran;-;1;30-09-2025
520185;dduran;-;1;30-09-2025
2345719;dduran;-;1;30-09-2025
1852312;dduran;-;1;30-09-2025
523399;dduran;-;1;01-10-2025
2317625;dduran;-;1;01-10-2025
1945067;dduran;-;1;01-10-2025
1338942;dduran;-;1;01-10-2025
2144161;dduran;-;1;01-10-2025
1860674;dduran;-;1;01-10-2025
2314787;dduran;-;1;01-10-2025
1497555;dduran;-;1;01-10-2025
1939358;dduran;-;1;01-10-2025
897183;dduran;-;1;01-10-2025
1691534;dduran;-;1;01-10-2025
2228473;dduran;-;1;01-10-2025
517676;dduran;-;1;01-10-2025
519240;dduran;-;1;01-10-2025
517965;dduran;-;1;01-10-2025
2270471;dduran;-;1;01-10-2025
794297;dduran;-;1;01-10-2025
615704;dduran;-;1;01-10-2025
691257;dduran;-;1;01-10-2025
928140;dduran;-;1;01-10-2025
776662;dduran;-;1;02-10-2025
2227914;dduran;-;1;02-10-2025
1429092;dduran;-;1;02-10-2025
1649126;dduran;-;1;02-10-2025
515723;dduran;-;1;02-10-2025
1901266;dduran;-;1;02-10-2025
2138561;dduran;-;1;02-10-2025
1920042;dduran;-;1;02-10-2025
1354747;dduran;-;1;02-10-2025
710606;dduran;-;1;02-10-2025
2292761;dduran;-;1;02-10-2025
516023;dduran;-;1;02-10-2025
717680;dduran;-;1;02-10-2025
523171;dduran;-;1;02-10-2025
2139537;dduran;-;1;02-10-2025
709520;dduran;-;1;02-10-2025
522365;dduran;-;1;02-10-2025
2163641;dduran;-;1;02-10-2025
522363;dduran;-;1;02-10-2025
1903136;dduran;-;1;02-10-2025
519897;dduran;-;1;03-10-2025
515071;dduran;-;1;03-10-2025
1499423;dduran;-;1;03-10-2025
511031;dduran;-;1;03-10-2025
2252863;dduran;-;1;03-10-2025
2318658;dduran;-;1;03-10-2025
2106209;dduran;-;1;03-10-2025
1990881;dduran;-;1;03-10-2025
521848;dduran;-;1;03-10-2025
565878;dduran;-;1;03-10-2025
1352682;dduran;-;1;03-10-2025
745964;dduran;-;1;03-10-2025
763430;dduran;-;1;03-10-2025
755848;dduran;-;1;03-10-2025
1300928;cmoreno;-;1;29-09-2025
570724;cmoreno;-;1;29-09-2025
2262362;cmoreno;-;1;29-09-2025
2317664;cmoreno;-;1;29-09-2025
2292022;cmoreno;-;1;29-09-2025
571332;cmoreno;-;1;29-09-2025
2305983;cmoreno;-;1;29-09-2025
1372207;cmoreno;-;1;29-09-2025
1961720;cmoreno;-;1;29-09-2025
879997;cmoreno;-;1;29-09-2025
570515;cmoreno;-;1;29-09-2025
2315412;cmoreno;-;1;29-09-2025
2148165;cmoreno;-;1;29-09-2025
572874;cmoreno;-;1;29-09-2025
2238398;cmoreno;-;1;29-09-2025
1650489;cmoreno;-;1;30-09-2025
599624;cmoreno;-;1;30-09-2025
1671363;cmoreno;-;1;30-09-2025
572432;cmoreno;-;1;30-09-2025
2264129;cmoreno;-;1;30-09-2025
2280059;cmoreno;-;1;30-09-2025
2304682;cmoreno;-;1;30-09-2025
780929;cmoreno;-;1;30-09-2025
827307;cmoreno;-;1;30-09-2025
982853;cmoreno;-;1;30-09-2025
833676;cmoreno;-;1;30-09-2025
1677418;cmoreno;-;1;30-09-2025
1666110;cmoreno;-;1;30-09-2025
1942889;cmoreno;-;1;30-09-2025
782880;cmoreno;-;1;30-09-2025
1305164;cmoreno;-;1;01-10-2025
1990538;cmoreno;-;1;01-10-2025
1367268;cmoreno;-;1;01-10-2025
568155;cmoreno;-;1;01-10-2025
779443;cmoreno;-;1;01-10-2025
1577757;cmoreno;-;1;01-10-2025
720540;cmoreno;-;1;01-10-2025
1354476;cmoreno;-;1;01-10-2025
1714233;cmoreno;-;1;01-10-2025
569157;cmoreno;-;1;01-10-2025
1621916;cmoreno;-;1;01-10-2025
571539;cmoreno;-;1;01-10-2025
1646858;cmoreno;-;1;01-10-2025
572979;cmoreno;-;1;01-10-2025
571065;cmoreno;-;1;01-10-2025
1319422;cmoreno;-;1;02-10-2025
568086;cmoreno;-;1;02-10-2025
572075;cmoreno;-;1;02-10-2025
1626819;cmoreno;-;1;02-10-2025
1373958;cmoreno;-;1;02-10-2025
1815113;cmoreno;-;1;02-10-2025
800209;cmoreno;-;1;02-10-2025
997900;cmoreno;-;1;02-10-2025
571288;cmoreno;-;1;02-10-2025
762877;cmoreno;-;1;02-10-2025
901287;cmoreno;-;1;02-10-2025
2208917;cmoreno;-;1;02-10-2025
2312909;cmoreno;-;1;02-10-2025
571351;cmoreno;-;1;02-10-2025
2133726;cmoreno;-;1;02-10-2025
572530;cmoreno;-;1;03-10-2025
2292021;cmoreno;-;1;03-10-2025
783166;cmoreno;-;1;03-10-2025
2270640;cmoreno;-;1;03-10-2025
568537;cmoreno;-;1;03-10-2025
2218834;cmoreno;-;1;03-10-2025
1989376;cmoreno;-;1;03-10-2025
1316098;cmoreno;-;1;03-10-2025
571290;cmoreno;-;1;03-10-2025
846718;cmoreno;-;1;03-10-2025
1424615;cmoreno;-;1;03-10-2025
2015647;cmoreno;-;1;03-10-2025
1869416;cmoreno;-;1;03-10-2025
2122456;cmoreno;-;1;03-10-2025
1440260;cmoreno;-;1;03-10-2025
1327053;epalacios;-;1;29-09-2025
507386;epalacios;-;1;29-09-2025
1363872;epalacios;-;1;29-09-2025
803295;epalacios;-;1;29-09-2025
2219342;epalacios;-;1;29-09-2025
506218;epalacios;-;1;29-09-2025
741729;epalacios;-;1;29-09-2025
1747498;epalacios;-;1;29-09-2025
824114;epalacios;-;1;29-09-2025
982454;epalacios;-;1;29-09-2025
1456519;epalacios;-;1;29-09-2025
1606016;epalacios;-;1;29-09-2025
2253583;epalacios;-;1;29-09-2025
835465;epalacios;-;1;29-09-2025
506894;epalacios;-;1;29-09-2025
1678538;epalacios;-;1;30-09-2025
2293456;epalacios;-;1;30-09-2025
2232060;epalacios;-;1;30-09-2025
2270669;epalacios;-;1;30-09-2025
2325428;epalacios;-;1;30-09-2025
1758160;epalacios;-;1;30-09-2025
745352;epalacios;-;1;30-09-2025
1786801;epalacios;-;1;30-09-2025
1571734;epalacios;-;1;30-09-2025
2280921;epalacios;-;1;30-09-2025
795953;epalacios;-;1;30-09-2025
704485;epalacios;-;1;30-09-2025
846668;epalacios;-;1;30-09-2025
1876327;epalacios;-;1;30-09-2025
1759077;epalacios;-;1;30-09-2025
2259157;epalacios;-;1;01-10-2025
506431;epalacios;-;1;01-10-2025
995472;epalacios;-;1;01-10-2025
1432741;epalacios;-;1;01-10-2025
2141626;epalacios;-;1;01-10-2025
851962;epalacios;-;1;01-10-2025
1577809;epalacios;-;1;01-10-2025
506289;epalacios;-;1;01-10-2025
915823;epalacios;-;1;01-10-2025
1367295;epalacios;-;1;01-10-2025
1459415;epalacios;-;1;01-10-2025
506867;epalacios;-;1;01-10-2025
2320714;epalacios;-;1;01-10-2025
1756630;epalacios;-;1;01-10-2025
2231677;epalacios;-;1;01-10-2025
935552;epalacios;-;1;02-10-2025
508829;epalacios;-;1;02-10-2025
1644615;epalacios;-;1;02-10-2025
1492074;epalacios;-;1;02-10-2025
506685;epalacios;-;1;02-10-2025
1357060;epalacios;-;1;02-10-2025
2328285;epalacios;-;1;02-10-2025
507303;epalacios;-;1;02-10-2025
2326774;epalacios;-;1;02-10-2025
2236125;epalacios;-;1;02-10-2025
615473;epalacios;-;1;02-10-2025
2031914;epalacios;-;1;02-10-2025
2244822;epalacios;-;1;02-10-2025
2026402;epalacios;-;1;02-10-2025
2271182;epalacios;-;1;02-10-2025
896714;epalacios;-;1;03-10-2025
2218714;epalacios;-;1;03-10-2025
2251876;epalacios;-;1;03-10-2025
1372836;epalacios;-;1;03-10-2025
785669;epalacios;-;1;03-10-2025
507152;epalacios;-;1;03-10-2025
999405;epalacios;-;1;03-10-2025
2289135;epalacios;-;1;03-10-2025
2274858;epalacios;-;1;03-10-2025
507165;epalacios;-;1;03-10-2025
776065;epalacios;-;1;03-10-2025
552284;epalacios;-;1;03-10-2025
821263;epalacios;-;1;03-10-2025
1916753;epalacios;-;1;03-10-2025
506654;epalacios;-;1;03-10-2025
1317259;fperez;-;1;29-09-2025
504600;fperez;-;1;29-09-2025
838517;fperez;-;1;29-09-2025
780812;fperez;-;1;29-09-2025
2007376;fperez;-;1;29-09-2025
821319;fperez;-;1;29-09-2025
773681;fperez;-;1;29-09-2025
503863;fperez;-;1;29-09-2025
845406;fperez;-;1;29-09-2025
1915821;fperez;-;1;29-09-2025
503496;fperez;-;1;29-09-2025
2087134;fperez;-;1;29-09-2025
718603;fperez;-;1;29-09-2025
840247;fperez;-;1;29-09-2025
921322;fperez;-;1;29-09-2025
1576881;fperez;-;1;30-09-2025
1686200;fperez;-;1;30-09-2025
707212;fperez;-;1;30-09-2025
776543;fperez;-;1;30-09-2025
784825;fperez;-;1;30-09-2025
779880;fperez;-;1;30-09-2025
1962232;fperez;-;1;30-09-2025
552839;fperez;-;1;30-09-2025
1356647;fperez;-;1;30-09-2025
1422313;fperez;-;1;30-09-2025
2312623;fperez;-;1;30-09-2025
2291604;fperez;-;1;30-09-2025
2294085;fperez;-;1;30-09-2025
503799;fperez;-;1;30-09-2025
983070;fperez;-;1;30-09-2025
504201;fperez;-;1;01-10-2025
2293898;fperez;-;1;01-10-2025
503752;fperez;-;1;01-10-2025
2232217;fperez;-;1;01-10-2025
2247053;fperez;-;1;01-10-2025
893420;fperez;-;1;01-10-2025
2329920;fperez;-;1;01-10-2025
1449324;fperez;-;1;01-10-2025
503840;fperez;-;1;01-10-2025
1960143;fperez;-;1;01-10-2025
2209841;fperez;-;1;01-10-2025
715496;fperez;-;1;01-10-2025
504190;fperez;-;1;01-10-2025
503648;fperez;-;1;01-10-2025
850760;fperez;-;1;01-10-2025
934320;fperez;-;1;02-10-2025
2092423;fperez;-;1;02-10-2025
1332040;fperez;-;1;02-10-2025
504104;fperez;-;1;02-10-2025
730107;fperez;-;1;02-10-2025
1954281;fperez;-;1;02-10-2025
2152043;fperez;-;1;02-10-2025
503440;fperez;-;1;02-10-2025
851545;fperez;-;1;02-10-2025
1599816;fperez;-;1;02-10-2025
504926;fperez;-;1;02-10-2025
784928;fperez;-;1;02-10-2025
2066993;fperez;-;1;02-10-2025
503788;fperez;-;1;02-10-2025
504521;fperez;-;1;02-10-2025
715057;fperez;-;1;03-10-2025
504522;fperez;-;1;03-10-2025
2287437;fperez;-;1;03-10-2025
2437263;fperez;-;1;03-10-2025
592504;fperez;-;1;03-10-2025
574589;fperez;-;1;03-10-2025
1651952;fperez;-;1;03-10-2025
755621;fperez;-;1;03-10-2025
1339222;fperez;-;1;03-10-2025
503517;fperez;-;1;03-10-2025
503202;fperez;-;1;03-10-2025
504238;fperez;-;1;03-10-2025
1731092;fperez;-;1;03-10-2025
2052317;fperez;-;1;03-10-2025
505034;fperez;-;1;03-10-2025
1330372;frojas;-;1;29-09-2025
2358480;frojas;-;1;29-09-2025
2011637;frojas;-;1;29-09-2025
848323;frojas;-;1;29-09-2025
1829877;frojas;-;1;29-09-2025
1345088;frojas;-;1;29-09-2025
2283414;frojas;-;1;29-09-2025
564291;frojas;-;1;29-09-2025
561389;frojas;-;1;29-09-2025
561808;frojas;-;1;29-09-2025
562557;frojas;-;1;29-09-2025
562707;frojas;-;1;29-09-2025
2026493;frojas;-;1;29-09-2025
1956571;frojas;-;1;29-09-2025
2266070;frojas;-;1;29-09-2025
2296445;frojas;-;1;30-09-2025
2307363;frojas;-;1;30-09-2025
844914;frojas;-;1;30-09-2025
560733;frojas;-;1;30-09-2025
2393505;frojas;-;1;30-09-2025
796338;frojas;-;1;30-09-2025
2311088;frojas;-;1;30-09-2025
2353689;frojas;-;1;30-09-2025
816520;frojas;-;1;30-09-2025
848091;frojas;-;1;30-09-2025
563190;frojas;-;1;30-09-2025
560403;frojas;-;1;30-09-2025
562143;frojas;-;1;30-09-2025
706715;frojas;-;1;30-09-2025
562779;frojas;-;1;30-09-2025
995243;frojas;-;1;01-10-2025
2222522;frojas;-;1;01-10-2025
1856031;frojas;-;1;01-10-2025
2305356;frojas;-;1;01-10-2025
1428510;frojas;-;1;01-10-2025
563597;frojas;-;1;01-10-2025
2210456;frojas;-;1;01-10-2025
2353916;frojas;-;1;01-10-2025
814513;frojas;-;1;01-10-2025
1989982;frojas;-;1;01-10-2025
1373137;frojas;-;1;01-10-2025
2210612;frojas;-;1;01-10-2025
1373289;frojas;-;1;01-10-2025
1601067;frojas;-;1;01-10-2025
2206916;frojas;-;1;01-10-2025
797234;frojas;-;1;02-10-2025
2059050;frojas;-;1;02-10-2025
2027939;frojas;-;1;02-10-2025
2427002;frojas;-;1;02-10-2025
2311110;frojas;-;1;02-10-2025
773143;frojas;-;1;02-10-2025
2314705;frojas;-;1;02-10-2025
561988;frojas;-;1;02-10-2025
2274531;frojas;-;1;02-10-2025
2265164;frojas;-;1;02-10-2025
1718301;frojas;-;1;02-10-2025
563126;frojas;-;1;02-10-2025
2286598;frojas;-;1;02-10-2025
1692621;frojas;-;1;02-10-2025
2332496;frojas;-;1;02-10-2025
2261248;frojas;-;1;03-10-2025
2106466;frojas;-;1;03-10-2025
788238;frojas;-;1;03-10-2025
1621871;frojas;-;1;03-10-2025
2005426;frojas;-;1;03-10-2025
2168078;frojas;-;1;03-10-2025
728587;frojas;-;1;03-10-2025
2255906;frojas;-;1;03-10-2025
2164068;frojas;-;1;03-10-2025
829389;frojas;-;1;03-10-2025
2303407;frojas;-;1;03-10-2025
1916932;frojas;-;1;03-10-2025
2260885;frojas;-;1;03-10-2025
2227297;frojas;-;1;03-10-2025
2151600;frojas;-;1;03-10-2025
1421793;mcarvajal;-;1;29-09-2025
2241898;mcarvajal;-;1;29-09-2025
978880;mcarvajal;-;1;29-09-2025
1439918;mcarvajal;-;1;29-09-2025
556694;mcarvajal;-;1;29-09-2025
1706075;mcarvajal;-;1;29-09-2025
2273805;mcarvajal;-;1;29-09-2025
1964948;mcarvajal;-;1;29-09-2025
555594;mcarvajal;-;1;29-09-2025
2361197;mcarvajal;-;1;29-09-2025
556739;mcarvajal;-;1;29-09-2025
898636;mcarvajal;-;1;29-09-2025
556889;mcarvajal;-;1;29-09-2025
1923237;mcarvajal;-;1;29-09-2025
1640499;mcarvajal;-;1;29-09-2025
1658924;mcarvajal;-;1;30-09-2025
1813402;mcarvajal;-;1;30-09-2025
553980;mcarvajal;-;1;30-09-2025
705789;mcarvajal;-;1;30-09-2025
2214552;mcarvajal;-;1;30-09-2025
1679527;mcarvajal;-;1;30-09-2025
554914;mcarvajal;-;1;30-09-2025
2156465;mcarvajal;-;1;30-09-2025
855225;mcarvajal;-;1;30-09-2025
846300;mcarvajal;-;1;30-09-2025
557639;mcarvajal;-;1;30-09-2025
920883;mcarvajal;-;1;30-09-2025
1418823;mcarvajal;-;1;30-09-2025
1435535;mcarvajal;-;1;30-09-2025
1845832;mcarvajal;-;1;30-09-2025
1990935;mcarvajal;-;1;01-10-2025
774501;mcarvajal;-;1;01-10-2025
699188;mcarvajal;-;1;01-10-2025
1673390;mcarvajal;-;1;01-10-2025
1357585;mcarvajal;-;1;01-10-2025
2251949;mcarvajal;-;1;01-10-2025
1872494;mcarvajal;-;1;01-10-2025
1681944;mcarvajal;-;1;01-10-2025
1469580;mcarvajal;-;1;01-10-2025
557567;mcarvajal;-;1;01-10-2025
2065933;mcarvajal;-;1;01-10-2025
1702102;mcarvajal;-;1;01-10-2025
884192;mcarvajal;-;1;01-10-2025
788731;mcarvajal;-;1;01-10-2025
1604227;mcarvajal;-;1;01-10-2025
