CADENA,LOCAL,FECHA,DISPONIBILIDAD DE PRODUCTOS (A - D) ,GONDOLA,COMUNICACION MARCA,EXHIBICION AMBIENTE,EXHIBICION FRIO,SECTOR CAJAS,Pct_Entrada,Pct_Salida,VARIACION (%)
ALVI,ALVI * AVENIDA RAMON FREIRE 1515 * QUILPUE,2026-01-12 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-15 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
ARAMCO,ARAMCO - BALMACEDA. 4450 4450,2026-01-07 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,"ARAMCO - EL SAUCE64, PLACILLA 1150",2026-01-05 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,"ARAMCO - LOS MIRLOS 181, VIÑA DEL MAR 181",2026-01-09 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,ARAMCO - MARGA-MARGA 1844 1844,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
ARAMCO,"ARAMCO - PANAMERICANA NORTE225, LOS VILOS 225",2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
CENCOSUD,AV JORGE ALESSANDRI 3177,2026-01-13 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
CENCOSUD,CALLE ARIZTIA PONIENTE P 17 251,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
COPEC,ABAROA 1413,2026-01-07 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,AMERICO VESPUCIO 434,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,ANDRES BELLO ESQUINA J A RIOS 00,2026-01-14 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,ARTURO PRAT 1090,2026-01-15 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AUTOPISTA CONCEP-THNO 6981,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AV 18 SEPTIEMBRE S.N,2026-01-09 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AV ARGENTINA 1103,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AV CAUPOLICAN 451,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AV. 4 ESQUINAS 1550,2026-01-19 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,AV. EDMUNDO PEREZ ZUJOVIC 10675,2026-01-15 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,AV. EDMUNDO PEREZ ZUJOVIC 4256,2026-01-20 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,Av. Las delicias s/n (copec vicuña) S/n. (C,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,AVDA BALMACEDA S/N PARADERO 10 (PUNTO COPEC),2026-01-20 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,AVDA CRISTOBAL COLON 7655,2026-01-19 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,Avda Frei 1063,2026-01-14 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AVDA. ANGAMOS 633 633,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AVDA. ANGAMOS 633 633,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,AVDA.LOS CARRERAS 801,2026-01-15 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,"Avenida Gabriel González Videla1965, La Seren",2026-01-16 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,"Avenida Pedro Aguirre Cerda00, Antofagasta 00",2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,"Avenida Pedro Aguirre Cerda00, Antofagasta 00",2026-01-13 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,"Avenida Pedro Aguirre Cerda00, Antofagasta 00",2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,Avenida Presidente Jorge Alessandri Rodriguez,2026-01-13 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,"Avenida República de Croacia286, Antofagasta",2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,BALMACEDA 1839 1839,2026-01-16 00:00:00,🟢 17%,🟡 17%,🔴 0%,🔴 0%,🟡 17%,🟡 17%,33 %,67 %,33 %
COPEC,CARRETERA SAN MARTIN 401,2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,CLAUDIA ARROYO FERRAND,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,COLO COLO 4486,2026-01-19 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,COM. Y SERV. EL MOLINO LTDA.,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,COM.SMITH Y SANHUEZA LTDA,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,COMERCIAL Y SERVICIO CASTAÑEDA LTDA,2026-01-20 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,COMERCIAL Y SERVICIOS MICHEL LTDA,2026-01-26 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,COMERCIAL Y SERVICIOS SEGUEL-BEYZAGA LTDA,2026-01-09 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,COMERCIALIZADORA L & S LIMITADA,2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,COMERCIALIZADORA L & S LIMITADA,2026-01-14 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,COMERCIALIZADORA L & S LIMITADA,2026-01-23 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,COMERCIALIZADORA Y DISTR FUENTES Y SEPULVEDA,2026-01-21 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,GENERAL BONILLA # 2845,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
COPEC,GERONIMO DE ALDERETE 857,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,GERONIMO DE ALDERETE 857,2026-01-23 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,JIMENEZ Y BASSO LTDA,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,LOS COPIHUES 650,2026-01-16 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,MANUEL RODRIGUEZ 725,2026-01-16 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,MICHIMALONGO 1300,2026-01-21 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,OHIGGINS ESQ  BALMACEDA 680,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,PAICAVI 1248,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,PANAMERICANA NORTE km 204  PONIENTE KM 204,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
COPEC,PANAMERICANA NORTE KM 225,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,PANAMERICANA NORTE KM 227 INTERIOR 0,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,PEDRO AGUIRRE CERDA 10980,2026-01-15 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,PEDRO AGUIRRE CERDA 10980,2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,PEDRO DE VALDIVIA 1120,2026-01-12 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,PRIME LTDA.,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,PRIME LTDA.,2026-01-23 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,PRONTO COPEC LOS VILOS,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,RENDIC 3815,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,RENDIC 3815,2026-01-20 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,RUDECINDO ORTEGA 2011,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,"RUTA 160 CAMINO ARAUCO KM 48,6 ORIENTE",2026-01-14 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,RUTA 5 NORTE KM 370 S/N,2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,RUTA 5 NORTE KM 487,2026-01-15 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,RUTA 5 NORTE KM 648 PARCELA 20 PEÑUELA S/N,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,"RUTA 5 SUR KM 614,3 ORIENTE",2026-01-15 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
COPEC,"RUTA 5 SUR KM 614,3 ORIENTE",2026-01-16 00:00:00,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,0 %,0 %,0 %
COPEC,"RUTA 5 SUR KM 645,7",2026-01-16 00:00:00,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,0 %,0 %,0 %
COPEC,SAN MARTIN 0884 0884,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,SAN MARTIN 0884 0884,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
COPEC,SANTA LUCIA LIMITADA,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,SOCIEDAD COMERCIALIZADORA Y DISTRIBUIDORA ESP,2026-01-19 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,URIBE SAN MARTIN 0,2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,URIBE SAN MARTIN 0,2026-01-13 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
COPEC,URIBE SAN MARTIN 0,2026-01-23 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
COPEC,Vicuña Mackenna 8257,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
COPEC,VITACURA 6380 6380,2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
EL TREBOL,EL TREBOL,2026-01-23 00:00:00,🟢 17%,🟡 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,67 %,17 %
FEMSA,BARROS ARANA LOCAL D 374,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
FEMSA,CAUPOLICÁN 315 LOCAL 3 Y 4 315,2026-01-23 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
FEMSA,SIMON BOLIVAR LOCAL 3 3760,2026-01-19 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
HIPER LIDER,LIDER * AVDA ARGENTINA 540 * VALPARAISO,2026-01-26 00:00:00,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🔴 0%,🔴 0%,50 %,50 %,0 %
HIPER LIDER,LIDER * BALMACEDA 684 * PEÑAFLOR,2026-01-13 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
HIPER LIDER,LIDER * RAMON FREIRE 1351 * QUILPUE,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
HIPER LIDER,LIDER * VICUNA MACKENNA 153 * MELIPILLA,2026-01-13 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * 1 NORTE 2901 * VIÑA DEL MAR,2026-01-05 00:00:00,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * ANGAMOS 2170 * ANTOFAGASTA,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * ANGAMOS 2170 * ANTOFAGASTA,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * ARIZTIA 530 * QUILLOTA,2026-01-06 00:00:00,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * AV COSTANERA RIVERA NORTE 9781 * CONC,2026-01-19 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * AV COSTANERA RIVERA NORTE 9781 * CONC,2026-01-26 00:00:00,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,0 %,0 %,0 %
JUMBO,JUMBO * AV LOS PABLOS - LAS ENCINAS 1800 * TE,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
JUMBO,JUMBO * AVDA ARGENTINA 51 * VALPARAISO,2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🔴 0%,🔴 0%,67 %,67 %,0 %
JUMBO,JUMBO * AVDA RAMON FREIRE 1581 * QUILPUE,2026-01-06 00:00:00,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * AVDA RAMON FREIRE 1581 * QUILPUE,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * AVENIDA ALEMANIA 633 * TEMUCO,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * AVENIDA ANGAMOS 745 * ANTOFAGASTA,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * LONGITUDINAL NORTE 134 * CHILLAN,2026-01-09 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * PAN. NORTE PARCELA 69 VEGA SUR * LA S,2026-01-20 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * PEDRO AGUIRRE CERDA 9400 * ANTOFAGAST,2026-01-14 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
JUMBO,JUMBO * PEDRO DE VALDIVIA 1010 * CONCEPCION,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
JUMBO,JUMBO * RUTA F30 ESQUINA RUTA F124 * PUCHUNCA,2026-01-07 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV BARROS ARANA 308 * TEMUCO,2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
LIDER EXPRESS,LIDER * AV BARROS ARANA 308 * TEMUCO,2026-01-16 00:00:00,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🔴 0%,🔴 0%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV BARROS ARANA 308 * TEMUCO,2026-01-19 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🔴 0%,🔴 0%,67 %,67 %,0 %
LIDER EXPRESS,LIDER * AV BERNARDO OHIGGINS 964 * PUCON,2026-01-16 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
LIDER EXPRESS,LIDER * AV BORGONO 14650 * VALPARAISO,2026-01-09 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV EL AMANECER 1401 * COQUIMBO,2026-01-21 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV LOS CARRERA 754 * QUILPUE,2026-01-19 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
LIDER EXPRESS,LIDER * AV MANUEL RECABARREN 02320 * TEMUCO,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
LIDER EXPRESS,LIDER * AV PEDRO MONTT 1875 * VALPARAISO,2026-01-08 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
LIDER EXPRESS,LIDER * AV PEDRO MONTT 1875 * VALPARAISO,2026-01-26 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV.  LOS PALOS 2050 * TEMUCO,2026-01-22 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV. COLON 2572 * VALPARAISO,2026-01-08 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV. COLON 2572 * VALPARAISO,2026-01-26 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * AV. FCO. DE AGUIRRE 2 * LA SERENA,2026-01-15 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
LIDER EXPRESS,LIDER * AV. FCO. DE AGUIRRE 2 * LA SERENA,2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
LIDER EXPRESS,LIDER * AVENIDA BRASIL 1303 * VALPARAISO,2026-01-08 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,33 %,33 %,0 %
LIDER EXPRESS,LIDER * AVENIDA BRASIL 1303 * VALPARAISO,2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
LIDER EXPRESS,LIDER * CAPARROSA 355 * ANTOFAGASTA,2026-01-15 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
LIDER EXPRESS,LIDER * GABRIELA MISTRAL 2621 * TEMUCO,2026-01-23 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
LIDER EXPRESS,LIDER * GUILLERMO ULRIKSEN 3128 * LA SERENA,2026-01-19 00:00:00,🟢 17%,🟢 17%,🔴 0%,🟢 17%,🟢 17%,🟢 17%,83 %,83 %,0 %
LIDER EXPRESS,LIDER * IQUIQUE 5201 * ANTOFAGASTA,2026-01-20 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
